poll_end_date,publisher,client,method,sample_n,approve,disapprove,dk,source_url,notes
2025-11-25,위클리오늘,,,1000.0,54.2,42.0,3.8,https://news.google.com/rss/articles/CBMib0FVX3lxTE40LWd1dFB0ZlBMRjBaOEtucmNaYkR2RjdtV0xCbHZ6VVlBM1ZHQ1Z3a1VVU01PeGFaUHQyNGllVDQ0cXg2U0wwN2hwTnhraTh2NW5RaXJad05LVUpoUmY5bnlLUVdQbUdmUWx4LWJQYw?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-12-02,스트레이트뉴스,,,1000.0,52.7,43.8,3.5,https://news.google.com/rss/articles/CBMic0FVX3lxTE9Yc0RVc1VYLW1yazhlYWhKWXJDdGZjM081OTJ2cDE4TW5STnZMWDFtSGFDZ3d4X0FYRlJOaEtPaTFXaW1tS3doRlVYZWM1Znl6azNRdU9Tb3lFX1M3azh5VXRyUW0teF9qa0wycVJDajF3QW_SAXdBVV95cUxNM2s3X1RZcWYySktKZUdIZ1FKNW1BUnVjY3I4U0hQb1BNai1Cc1pvZV9oYW5fUDh2LUlEdnQ4QU9lZ3NpT2d0NFFyZWtDbzNyblBHb0NvWmFXV0tsZ0xxX2I0U19zejdpNEJrR1RVRVpvajBpaWFTWQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-12-09,리얼미터,,,1000.0,54.9,42.1,3.0,https://news.google.com/rss/articles/CBMifkFVX3lxTE45bFRfTnktRG5XQ0NzdENPVDc4bW1VUE4yNjRCeU1RVUhVQkF4VkFpQjhIM1paYXVCeTN3UWNIVXZ4N0ZjejlvREJnUm1EWkgwQnJScV94Q0VYMlhucDVtaE5kTDVPSTFWZ2Y3dC1TN3JRY0FEeUN0dTFNdFFCQQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-12-16,리얼미터,,,1000.0,54.3,0.6,45.1,https://news.google.com/rss/articles/CBMic0FVX3lxTFBCd2dpcllZU25DRDk5UVc4Q3JsZWZ6azVtWEZtSjhiMTZsNXlYdTA3XzY5SXY3U0x3VHJxX3RDSXhvbThuZ1VZRVpaUXAtTkIwWF9US2dBOWVkb256MmlfelB1OVpUUllCS1ZIUE5feU9TQUE?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-12-23,리얼미터,,,1000.0,53.4,42.2,4.4,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBMaTIxZFdOWmU1aUo0bGM5d0JDWTBDM3R4bWl3TlV2M0dKdE5wVDdMMDB0Yl9hbmFjSjJnYWFUSjFfNlFLZlM3a21scWxPcnFrQ1l4blV0ZEVvOTlDcl8zLTBEYw?oc=5,auto_from_rss_snippet;from_weekly_scraper
2025-12-30,v.daum.net,,,1000.0,62.0,35.0,3.0,https://news.google.com/rss/articles/CBMiT0FVX3lxTFB4NWtQSXpnR3RtS2FVYXhMWXFja3VfWndaTDRJelJpckxCTVlHZVBSbGFCU1RKNlVuRUx4TFBSN0ZYMXg5SjluYmstT2twbjQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-01-06,JTBC,,,1000.0,62.0,35.0,3.0,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5UVWk5dnFCa3NidGJJazI4RFc3anBjZVBIZnVJZFNZRWFHcXFXVG41UEVfS0s2aDdPX2E3dWNaSWt5QkItUTNvRnlVWGk3enBJOUx4bQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-01-13,리얼미터,,,1000.0,56.8,37.8,5.4,https://news.google.com/rss/articles/CBMib0FVX3lxTE92RW1aN3pCQ3MxdGNFRnlsV2Q2ZnEwMktxRmI2Zm9vS2NrcWdGQ0dIb0lHT0lwM0VFLUdyaXB6Sjk5YjU2blZUNk9fck5tME8yNVFTRkdiaG1HNXNsVEgtTk81azJLLUFkckU1aVlZNA?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-01-20,천지일보,,,1000.0,55.3,40.5,4.2,https://news.google.com/rss/articles/CBMiakFVX3lxTE1SVlpSRVJybG1fcHFLVHJJZEFSR0xvM04wRmdPY19PU1owNjljSWc5bjJRczgwaUthRFFmUW1jR01vY0VEN0wtUGpsc1FzbHdCdUFIVi1fOUlRQUctWkNHLVBaMkV6WkFSTHc?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-01-27,리얼미터,,,1000.0,53.1,42.1,4.8,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9rTkRmVlQxOXBUM1RzY09yellFWTljZzlrS2JQU09JTVI1M2NaUjRld1l6WjZhOG5CNEZJSUkzeHVsdi1LYWVTZlBKNlEzNzhwVzF5T041RU1OSWRGM3JTMdIBeEFVX3lxTFBEeDl4NVRMNnE4MkdWcVFmSW82X0FRY3dPbUxpQjhWS19qZEVNVFFPemlUdVRHRnJHc3pUaDQ4d3Q2dENjaC1QQkZkdDFJWGV3NTlWbUJMWndVUGtpYTVZYVNsUmppUTdtTnhWeGVqR1VISnpWUTRUQQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-02-03,천지일보,,,1000.0,54.5,41.8,3.7,https://news.google.com/rss/articles/CBMiakFVX3lxTE94YlBWMlFob3pMTEoxRnFia3ZJNHNKTjVTNzJVaU1HeFRKa1ZwUkNVSG9DaHpfQTI3M3lJb2tXaHpTVHBtLXp4ZGhPWmtVeG1lbmtuRnFRMDJWLXNwRmRvaUJDRkQ4XzJhaUE?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-02-10,리얼미터,,,1000.0,55.8,39.1,5.1,https://news.google.com/rss/articles/CBMiakFVX3lxTE1WZ29qRDMzY29IQVJXRXhJeTFMQTEzQkI1ZWJFY3JPVnRzRGlWM2x1eGZ1WmFmOXZnR0ticnFERGZ3QkxwTndrcjI4aVhSYkV0V1J6dF92QUEwQzhueFhFYlJRLVZwVi12YXc?oc=5,auto_from_rss_snippet;from_weekly_scraper
2026-02-16,한국갤럽,,,1000.0,63.0,26.0,11.0,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBoSGdMeFdIancyOXFwNDMwWVdfMEVTVWQzbUhHUmp4ZWZ3YzBnUjlOMVpGSVVjNzVaMktfUzNkNWMybFpoTFk1YnZxeW1keVYtTHVOVXpjdm4yUXJ2b01ydUUxQktNUQ?oc=5,auto_from_rss_snippet;from_weekly_scraper
